Utterance,Speaker,Emotion,Strategy
Stop it.,Client,sadness,undefined
What is it?,Therapist,neutral,Open question
"Sophie, look at me.",Therapist,neutral,Communication Skills
Please.,Therapist,neutral,Communication Skills
What is it?,Therapist,neutral,Open question
What goes on in there?,Therapist,neutral,Open question
Tell me.,Therapist,neutral,Open question
"Around 2:00 a.m., he took me to his room.",Client,depression,undefined
Who did?,Therapist,neutral,Open question
The new guy with the Tequila.,Client,depression,undefined
"He's from Minnesota or Michigan or somewhere,",Client,depression,undefined
he's a brilliant gymnast.,Client,depression,undefined
"He wanted to have sex,",Client,disgust,undefined
he couldn't get it up.,Client,disgust,undefined
He was pretty wasted too.,Client,depression,undefined
"And then he did and then we had sex and,",Client,depression,undefined
I didn't feel anything.,Client,fear,undefined
As usual.,Client,fear,undefined
Absolutely nothing.,Client,fear,undefined
Afterwards he said that I fucked,Client,depression,undefined
like someone who's been sexually abused.,Client,depression,undefined
Prick.,Therapist,anger,Communication Skills
"I'm sorry, go on.",Therapist,anger,Communication Skills
"We went to the girls' house,",Client,depression,undefined
to the room that I sometimes stay in.,Client,depression,undefined
I tried to go to sleep but I couldn't stop thinking about what he'd said.,Client,depression,undefined
I was afraid that if I fell asleep,Client,depression,undefined
I wouldn't get up in time to come here so...,Client,depression,undefined
And when I closed my eyes I saw these horrible images.,Client,fear,undefined
What?,Therapist,neutral,Open question
"Like,",Client,fear,undefined
"everything around me was falling apart,",Client,fear,undefined
"you know, disintegrating,",Client,fear,undefined
turning into ash right in front of me.,Client,fear,undefined
I forced myself to think of something pretty and nice like,Client,fear,undefined
a pasture in the sunlight and to hold it there--,Client,fear,undefined
That image.,Client,fear,undefined
But as soon as I started to fall asleep,Client,fear,undefined
the pasture would turn to rot.,Client,fear,undefined
It was terrible.,Client,fear,undefined
That reminded me of the accident for some reason. I don't know why.,Client,fear,undefined
"I was scared that if I slept I'd dream about the accident,",Client,fear,undefined
So I got up and I walked to the bus stop,Client,sadness,undefined
"very slowly,",Client,sadness,undefined
"backwards actually,",Client,sadness,undefined
just to slow myself down.,Client,sadness,undefined
"The buses weren't running yet, so,",Client,sadness,undefined
I sat on the bench.,Client,sadness,undefined
Yeah?,Therapist,neutral,Communication Skills
And what?,Therapist,neutral,Communication Skills
What were you thinking about when you sat on the bench?,Therapist,neutral,Open question
I was thinking about Dana.,Client,sadness,undefined
I couldn't breathe.,Client,sadness,undefined
"The night of the accident,",Client,sadness,undefined
"when I left Darlene's house and got on the bike,",Client,sadness,undefined
all of a sudden I couldn't breathe.,Client,sadness,undefined
My throat closed up.,Client,sadness,undefined
"There's this blind turn at the end of their hill, and when I,",Client,sadness,undefined
I went around it a white car almost hit me.,Client,sadness,undefined
I don't remember.,Client,sadness,undefined
"Go on, Sophie.",Therapist,neutral,Communication Skills
What happened with the car?,Therapist,neutral,Open question
I don't remember.,Client,anger,undefined
"Go on, please. It's really important.",Therapist,neutral,Communication Skills
I don't remember anything else.,Client,anger,undefined
You don't have to do this alone.,Therapist,neutral,Open question
I don't want to.,Client,anger,undefined
Go on.,Therapist,neutral,Communication Skills
The seat was hurting me.,Client,disgust,undefined
"It was Cy's bike, a man's bike, so it had a narrow seat.",Client,disgust,undefined
That's why it was hurting me.,Client,disgust,undefined
When I reached the blind turn,Client,sadness,undefined
a white car came around and almost hit me.,Client,sadness,undefined
It had the brights on so it blinded me.,Client,sadness,undefined
It swerved away from me and then honked and--,Client,sadness,undefined
It was so weird.,Client,sadness,undefined
"The road just sort of started coming at me,",Client,sadness,undefined
"sort of attacking me really fast,",Client,sadness,undefined
"like I was falling from somewhere very high,",Client,sadness,undefined
And I wanted it.,Client,sadness,undefined
I wanted to hear a huge boom,Client,sadness,undefined
and then I wanted to hear nothing.,Client,sadness,undefined
I'm trying to kill myself.,Client,sadness,undefined
I'm a fucking freak.,Client,sadness,undefined
You're not a freak.,Therapist,neutral,Approval
What happened then?,Therapist,neutral,Open question
It was as if it had already happened.,Client,sadness,undefined
As soon as the white car passed,Client,sadness,undefined
I knew I was going to have an accident.,Client,sadness,undefined
And I just felt calm.,Client,sadness,undefined
I turned the handlebars just the smallest little bit to the left.,Client,sadness,undefined
"I remember thinking,",Client,sadness,undefined
just this tiny little movement is enough.,Client,sadness,undefined
Then I rode into the street.,Client,depression,undefined
It was impossible for another car not to hit me.,Client,depression,undefined
And I felt just free--,Client,depression,undefined
Free and strong.,Client,depression,undefined
I had this adrenaline rush like nothing could touch me.,Client,depression,undefined
What is that about?,Client,depression,undefined
Maybe you felt like you were in control.,Therapist,neutral,Interpretation
Yes.,Client,depression,undefined
Yeah?,Therapist,neutral,Communication Skills
And then I was in the middle of the road,Client,sadness,undefined
there was this terrible screeching sound and then a boom.,Client,sadness,undefined
"I remember I said to myself, oh.",Client,sadness,undefined
Just oh.,Client,sadness,undefined
And I flew into the air.,Client,sadness,undefined
I could suddenly breathe again. I had all this air in my lungs.,Client,sadness,undefined
And then you were on the ground,Therapist,neutral,Advisement
you were lying there. Do you rember what--,Therapist,neutral,Restatement
What was going through your head?,Therapist,neutral,Open question
That I finally killed her.,Client,sadness,undefined
"Killed who, Sophie?",Therapist,neutral,Open question
That's what I thought when I landed.,Client,sadness,undefined
"Who did you kill, Sophie?",Therapist,neutral,Open question
I don't know.,Client,sadness,undefined
"Laura, I think that",Therapist,neutral,Structuring the therapy
we need to discuss in a little greater detail,Therapist,neutral,Structuring the therapy
your ending therapy.,Therapist,neutral,Structuring the therapy
"We're not stopping yet, but in order to do it gradually,",Therapist,neutral,Structuring the therapy
we have to create what we call,Therapist,neutral,Structuring the therapy
a timeline.,Therapist,neutral,Structuring the therapy
No timeline.,Client,neutral,undefined
We're finishing today.,Client,neutral,undefined
"Yeah, today. This is our last session.",Client,neutral,undefined
Good.,Client,joy,undefined
Feels good.,Client,joy,undefined
"Resolved, I guess.",Client,joy,undefined
"I was a little nervous about telling you but now that that's over, I feel better,",Client,neutral,undefined
"relieved,",Client,neutral,undefined
maybe a little tired.,Client,neutral,undefined
And...,Client,neutral,undefined
and sad. How about you?,Client,neutral,undefined
How do you feel?,Client,neutral,undefined
"I'm sorry, is that not okay for me to ask?",Client,joy,undefined
"No, it's perfectly okay.",Therapist,neutral,Structuring the therapy
"Good, so...",Client,neutral,undefined
tell me.,Client,neutral,undefined
"Well,",Therapist,neutral,Self-disclosure
"to be honest, it's come as a bit of a shock.",Therapist,neutral,Self-disclosure
"Shock. Well, okay, what else?",Client,neutral,undefined
"Well, I feel sad, too.",Therapist,neutral,Self-disclosure
